Wall time,Step,Total_loss
1585272450.0178568,0,0.6712926626205444
1585272689.1010866,1,0.471560001373291
1585272926.8741448,2,0.43376052379608154
1585273210.6794043,3,0.37705451250076294
1585273594.2951622,4,0.3476791977882385
1585273979.8344584,5,0.36934733390808105
1585274365.627813,6,0.32519689202308655
1585274750.0971882,7,0.3299259543418884
1585275134.242586,8,0.34508219361305237
1585275520.1316593,9,0.3105771839618683
1585275906.639623,10,0.29986169934272766
1585276290.8798969,11,0.30400505661964417
1585276679.0417066,12,0.27571284770965576
1585277063.448883,13,0.2757923901081085
1585277448.1478305,14,0.26797857880592346
1585277832.6148124,15,0.2614801228046417
1585278220.080554,16,0.2624160051345825
1585278605.6029196,17,0.25928279757499695
1585278991.7879114,18,0.2658019959926605
1585279376.4764585,19,0.2558452785015106
1585279760.2628949,20,0.2561469078063965
1585280143.4209,21,0.2550162971019745
1585280529.0916543,22,0.24716806411743164
1585280913.5242107,23,0.252183735370636
1585281297.954299,24,0.24653314054012299
1585281686.4678164,25,0.237049400806427
1585282071.3638108,26,0.24204115569591522
1585282456.151911,27,0.22991478443145752
1585282841.7773767,28,0.23074239492416382
1585283227.3198962,29,0.23520691692829132
1585283613.461337,30,0.2581312358379364
1585283999.22322,31,0.2606532871723175
1585284387.002216,32,0.24614976346492767
1585284769.7654307,33,0.23664696514606476
1585285157.5311255,34,0.23450319468975067
1585285542.6035426,35,0.24135026335716248
1585285924.912313,36,0.22644804418087006
1585286307.2547991,37,0.23824457824230194
1585286691.15854,38,0.24365761876106262
1585287077.0105941,39,0.21630313992500305
1585287459.7524583,40,0.22937710583209991
1585287843.1269934,41,0.21602462232112885
1585288229.1219625,42,0.21664530038833618
1585288612.0750127,43,0.23583626747131348
1585288996.1717663,44,0.21877047419548035
1585289379.3236172,45,0.22367116808891296
1585289766.8023107,46,0.22657227516174316
1585290149.7436132,47,0.22234292328357697
1585290534.7375755,48,0.2161283940076828
1585290921.245809,49,0.20632578432559967
1585291307.8668714,50,0.21170580387115479
1585291691.3413382,51,0.21779479086399078
1585292076.5967298,52,0.2104402780532837
1585292463.63726,53,0.2123747318983078
1585292842.664544,54,0.2131359577178955
1585293226.6770537,55,0.21692706644535065
1585293610.786618,56,0.20417872071266174
